id,cuisine,ingredients
369,American,coriander fenugreek pepper okra onion black_pepper cumin ginger tomato chickpea garlic cinnamon vegetable_oil rice turmeric
370,Italian,tomato olive_oil onion parsley bay celery garlic basil tuna
371,American,mustard cayenne chive vegetable_oil egg cream
372,Asian,vinegar sesame_oil soy_sauce ginger carrot sesame_seed cabbage rice
373,Greek,butter dill wheat feta_cheese anise black_pepper scallion fennel cottage_cheese egg bread
374,American,olive_oil onion beef roquefort_cheese black_pepper garlic
375,American,butter olive_oil wheat onion vinegar black_pepper nut red_wine cayenne celery olive garlic orange grape cheddar_cheese
376,American,seed huckleberry
377,English_Scottish,cheese potato shallot chicken_broth celery seed cream
378,American,wheat parmesan_cheese
379,American,tomato vinegar cilantro celery_oil corn orange_juice pork cumin garlic chicken soy_sauce thai_pepper
380,American,butter coconut wheat vanilla gelatin mango cream_cheese cream vegetable_oil guava egg lime
381,Italian,butter lemon_juice lemon vanilla almond wheat egg
382,American,butter wheat black_pepper parsley parmesan_cheese milk_fat milk
383,American,butter cane_molasses wheat ginger cinnamon egg
384,MiddleEastern,coriander vinegar pepper caraway lemon olive_oil fish red_wine parsley cumin garlic olive vegetable_oil
385,American,olive_oil pepper lemon_juice wheat cheese black_pepper artichoke vegetable_oil lemon egg bread
386,Jewish,butter wheat apricot plum brandy cinnamon egg bread
387,Cajun_Creole,tomato green_bell_pepper cheddar_cheese corn white_bread egg milk pork_sausage bread
388,American,cane_molasses vinegar lemon_juice wheat mustard onion yeast parsley cucumber butter crab chive vegetable_oil tamarind white_bread egg
389,Spanish_Portuguese,tomato olive_oil rice onion chicken_broth parsley saffron bay garlic bell_pepper pimento olive chicken white_wine pea
390,American,butter vinegar wheat cider
391,American,cilantro clam potato shallot cayenne bacon shrimp scallop lobster chive milk milk_fat
392,French,butter wheat vanilla raisin nutmeg egg milk
393,American,cane_molasses wheat apple yeast raisin cinnamon egg milk cream
394,American,vanilla white_wine pear milk cream
395,French,tomato vinegar mustard potato parsley champagne_wine bean garlic olive tuna egg olive_oil
396,American,butter lemon_juice wheat citrus lemon_peel nut anise ginger gelatin lemon egg milk cream
397,Italian,butter wheat black_pepper buttermilk rye_flour egg
398,American,cane_molasses vinegar pork cider mustard
399,Jewish,wheat apple red_wine pear date banana
400,Scandinavian,turkey cane_molasses lingonberry onion starch egg_noodle vinegar black_pepper nutmeg vegetable_oil sherry beef_broth bread egg tamarind dill cream
401,American,orange_peel vinegar mustard olive_oil feta_cheese walnut lettuce orange white_wine
402,American,vinegar cilantro sesame_oil black_pepper salmon pepper ginger scallion lettuce seed garlic soybean vegetable_oil egg bread
403,Indian,coriander lemon onion cauliflower potato cayenne cumin ginger garlic vegetable_oil turmeric
404,American,turkey onion beef chicken_broth black_pepper white_wine celery carrot vegetable_oil
405,American,butter swiss_cheese wheat mustard
406,American,butter olive_oil thyme shallot parsnip bay bean bell_pepper root
407,American,wheat yeast cherry vanilla starch star_anise nutmeg cinnamon egg milk cream
408,Italian,olive_oil lemon endive vinegar black_pepper white_wine chicory artichoke
409,Italian,butter cheese wheat thyme black_pepper parmesan_cheese lard egg leek
410,Asian,coriander fenugreek pepper wheat turmeric black_pepper chicken_broth cayenne cumin ginger garlic bell_pepper vegetable_oil sherry chicken rice soy_sauce coconut lime_juice
411,American,basil buttermilk garlic egg vegetable_oil
412,American,butter cauliflower potato caviar chive cream
413,MiddleEastern,lamb yam cardamom cumin honey garlic butter sweet_potato tamarind thai_pepper
414,Chinese,rice
415,Jewish,olive_oil lemon thyme potato black_pepper parsley vegetable garlic artichoke basil rosemary
416,American,butter lemon_juice egg cayenne scallion crab vegetable_oil lemon_peel bread
417,Italian,butter olive_oil sage squash parmesan_cheese macaroni garlic
418,EasternEuropean_Russian,butter wheat starch vanilla cherry_brandy milk_fat gelatin currant egg milk
419,Italian,olive_oil shallot parmesan_cheese cured_pork macaroni pea
420,Japanese,katsuobushi soy_sauce scallion bean carrot seaweed soybean buckwheat rice barley
421,Italian,wheat egg
422,Moroccan,tomato olive_oil wheat beef onion chicken_broth red_wine pear cumin ginger squash honey cinnamon date plum
423,Mexican,vegetable wheat lard
424,American,butter egg vanilla wheat milk
425,Southern_SoulFood,cane_molasses vinegar beef onion bacon chicken_broth cider brassica cayenne
426,American,butter cheese wheat starch vanilla cocoa buttermilk cream
427,Mediterranean,tomato olive_oil thyme onion romano_cheese garlic oregano macaroni
428,French,olive_oil meat shallot raisin white_wine fennel garlic cinnamon lemongrass
429,Asian,sherry pork soy_sauce ginger scallion
430,American,butter cane_molasses wheat vanilla cocoa egg
431,American,olive_oil lemon_juice potato shallot parsley scallion garlic basil cream
432,American,butter cane_molasses wheat meat orange white_bread
433,French,butter wheat cocoa egg milk cream
434,French,butter white_bread black_pepper bacon cheddar_cheese egg
435,Mexican,tomato olive_oil cilantro onion cayenne chicken_broth lime_juice garlic macaroni chicken rice
436,English_Scottish,butter cheese wheat ham milk_fat beer rye_flour milk mustard
437,Japanese,vinegar cayenne wasabi ginger bell_pepper soybean rice sesame_seed
438,American,orange_peel egg
439,Italian,lemon_juice mint
440,French,lemon_juice wheat lemon egg milk cream
441,Greek,butter olive_oil wheat onion cheese feta_cheese cayenne fennel lard pumpkin mint egg bread
442,American,wheat thyme onion potato black_pepper scallop milk_fat bacon vegetable milk
443,Asian,vegetable_oil soy_sauce cayenne cilantro ginger
444,American,lemon apple wine
445,French,butter cheese onion thyme chicken_broth sage squash garlic bread cream
446,Spanish_Portuguese,olive_oil vinegar cayenne black_pepper cumin bay garlic bell_pepper sherry
447,Mexican,tomato lemon_juice black_pepper avocado shrimp lime_juice garlic scallion lime
448,American,butter vanilla cocoa egg milk cream
449,American,butter lemon_juice onion starch chicken_broth fennel carrot veal lemon_peel
450,English_Scottish,cane_molasses butter wheat walnut cocoa cream
451,French,butter wheat apple apricot plum vanilla cognac lard vegetable milk cream
452,Asian,vinegar sesame_oil soy_sauce garlic vegetable_oil rice
453,American,butter lemon_juice wheat buttermilk lemon_peel vanilla almond ginger strawberry blackberry raspberry egg blueberry cream
454,Japanese,nut ginger scallion garlic vegetable sherry chicken soy_sauce
455,Jewish,chicken egg pepper
456,American,butter coriander pepper fenugreek black_pepper cayenne cumin bean turmeric
457,Mediterranean,tomato olive_oil wheat vinegar feta_cheese white_wine garlic mint
458,Indian,cane_molasses butter vanilla cider
459,Spanish_Portuguese,tomato olive_oil green_bell_pepper mushroom onion chicken_broth cayenne parsley white_wine garlic bell_pepper pork_sausage
460,Asian,cilantro shallot root fish pork scallion garlic basil vegetable_oil tamarind mint
461,MiddleEastern,roasted_sesame_seed lemon_juice garlic
462,American,tomato olive_oil beef onion cayenne black_pepper cumin garlic red_kidney_bean thai_pepper
463,American,orange milk_fat avocado milk starch
464,African,orange_peel olive_oil beef cayenne cumin lamb garlic bread
465,Mexican,tomato cheese pepper lemon_juice mushroom onion black_bean cayenne cumin scallion garlic vegetable_oil cream
466,French,butter olive_oil lemon_juice lemon lavender honey wheat egg cream
467,Italian,coffee wheat almond cocoa cream_cheese egg cream
468,German,butter wheat milk_fat nutmeg egg milk
469,Italian,olive_oil cayenne garlic smoke mozzarella_cheese egg bread
470,Asian,onion beef potato sake soy_sauce vegetable_oil
471,Asian,coriander shallot roasted_sesame_seed mango palm rice
472,Asian,vinegar cilantro green_bell_pepper papaya fish cayenne bell_pepper crab rice lime
473,American,butter clam thyme onion potato bacon cayenne parsley milk cream
474,Asian,cane_molasses coconut cayenne fish pork soybean mint lime cilantro lime_juice scallion basil vegetable_oil rice lemongrass mushroom black_pepper garlic mung_bean onion shrimp root turmeric
475,Mexican,tomato butter cilantro onion avocado corn cayenne pepper black_pepper garlic cheddar_cheese chicken_broth lime_juice
476,Mexican,tomato olive_oil cilantro onion vinegar corn cayenne wine
477,American,milk_fat fennel egg milk cream
478,Mexican,tomato olive_oil onion cayenne shrimp bean garlic rice
479,Italian,butter thyme cayenne parmesan_cheese turnip savory cream
480,Southern_SoulFood,butter buttermilk cheddar_cheese wheat scallion
481,American,lemon_juice meat tarragon black_pepper shrimp celery vegetable_oil egg bread
482,Mexican,turkey olive_oil cilantro wheat meat onion cheese cayenne cumin garlic tomato bell_pepper
483,Jewish,vegetable_oil wheat yeast
484,French,butter beef shallot red_wine parsley bone_oil beef_broth
485,MiddleEastern,butter cane_molasses coconut wheat pineapple banana cream
486,Chinese,peanut_oil pepper wheat sesame_oil mushroom starch soy_sauce pork ginger scallion garlic cabbage egg shiitake oyster wine
487,Jewish,lamb olive_oil coconut vinegar cider orange_juice cayenne cumin orange garlic pineapple vegetable
488,Indian,potato cayenne cumin bay vegetable_oil tamarind turmeric
489,American,vinegar lemon_juice apple onion cider avocado ginger bacon bell_pepper vegetable_oil mustard
490,American,olive_oil grape_juice vinegar red_wine black_pepper wine
491,Mexican,tomato coffee onion beef black_pepper corn cayenne cumin bay garlic vegetable_oil
492,American,cheese buttermilk champagne_wine strawberry lemon_peel cream
493,Cajun_Creole,butter coriander pepper wheat onion olive_oil cayenne chicken_broth black_pepper cumin parsley bell_pepper pork pork_sausage wine
494,Mediterranean,tomato cheese ham corn macaroni butter basil garlic
495,American,coriander olive_oil cilantro grape_juice shallot black_pepper nut cayenne lettuce garlic chive beet mint lime_juice
496,American,vinegar thyme nut bacon garlic bell_pepper sherry
497,American,orange
498,Cajun_Creole,chicken_broth rice kale beef
499,American,olive_oil lemon_juice black_pepper chicken_broth orange_juice cayenne honey fennel mint pea
500,Asian,nut ginger scallion garlic vegetable sherry chicken soy_sauce
501,American,butter cane_molasses lemon corn lard wheat egg cream
502,Mexican,orange_peel olive_oil papaya lime_juice orange_juice cayenne lobster tomato smoke lime_peel_oil avocado
503,Asian,vinegar pepper wheat sesame_oil peanut soy_sauce cayenne ginger scallion garlic soybean vegetable_oil cabbage egg chicken
504,Thai,cane_molasses vinegar roasted_peanut starch radish fish cayenne shrimp bean garlic soybean chive vegetable_oil tamarind rice egg lime
505,Central_SouthAmerican,olive_oil pepper onion corn milk_fat bell_pepper milk
506,Asian,cane_molasses vinegar sesame_oil soy_sauce black_pepper rice pea
507,Asian,ginger scallion garlic chive chicken rice wine
508,French,orange_peel grape vanilla orange_juice blueberry strawberry cognac orange egg corn cream
509,Indian,butter olive_oil cilantro lemon_juice mustard dill cayenne corn black_pepper cumin ginger scallion seed mint
510,English_Scottish,cane_molasses butter coffee wheat vanilla cocoa raspberry egg banana cream
511,French,butter egg bacon black_pepper
512,American,butter olive_oil cheese shallot nut black_pepper parmesan_cheese buttermilk asparagus bread cream
513,English_Scottish,butter cheese wheat onion yeast milk horseradish vegetable_oil egg roasted_beef
514,Chinese,cane_molasses vegetable_oil bean
515,American,orange_peel butter lemon_juice wheat peach milk_fat lard vegetable_oil raspberry egg milk cream
516,Southern_SoulFood,tomato butter lovage lemon_juice lemon okra corn black_pepper ginger bay pecan cinnamon vegetable_oil mustard catfish
517,Italian,butter cheese corn cured_pork fennel pork_sausage
518,American,butter gruyere_cheese ham black_pepper smoke mustard
519,Italian,olive_oil pork lemon_juice lemon soybean onion black_pepper smoke bean artichoke oregano
520,Thai,tomato soy_sauce cayenne garlic basil vegetable_oil chicken rice fish
521,French,tomato olive_oil lemon_juice parsley mint zucchini
522,Central_SouthAmerican,tomato vinegar onion cheese black_bean macaroni cayenne cumin scallion garlic vegetable_oil cream
523,French,olive_oil thyme potato black_pepper bay garlic rosemary
524,American,butter cane_molasses rum vanilla milk nutmeg cinnamon banana cream
525,Italian,tomato olive_oil lemon vinegar celery basil garlic artichoke olive wine
526,Spanish_Portuguese,olive_oil grape vinegar lima_bean melon garlic olive sherry egg bread
527,American,vinegar tarragon fish parsley scallion garlic chive vegetable_oil rice egg shrimp
528,French,butter olive_oil pepper lemon fish almond parsley
529,French,tomato vinegar potato red_wine cayenne carrot garlic bell_pepper vegetable vegetable_oil egg
530,Spanish_Portuguese,champagne_wine lemon
531,American,cane_molasses butter lemon_juice wheat cherry sage cinnamon lemon pumpkin egg milk cream
532,American,orange_peel cheese vanilla pear buttermilk cinnamon cream
